City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Svetlogorsk,BY,2022-02-12 19:18:16,52.6333,29.7333,27.95,82,19,10.54
228,Naze,JP,2022-02-12 19:11:00,28.3667,129.4833,62.74,91,100,13.6
229,Alugan,PH,2022-02-12 19:18:16,12.2188,125.4808,77.76,86,97,13.82
230,Ghorawal,IN,2022-02-12 19:18:17,24.7667,82.7833,52.83,45,0,1.52
231,Inhambane,MZ,2022-02-12 19:18:17,-23.865,35.3833,75.94,71,5,10.16
232,Victor Harbor,AU,2022-02-12 19:18:18,-35.5667,138.6167,71.47,39,100,6.35
233,Ravar,IR,2022-02-12 19:18:18,31.2656,56.8055,48.78,70,99,6.49
234,Hasaki,JP,2022-02-12 19:13:48,35.7333,140.8333,27.0,61,90,6.33
235,Alofi,NU,2022-02-12 19:14:30,-19.0595,-169.9187,81.95,74,86,17.69
236,Mitu,CO,2022-02-12 19:18:19,1.1983,-70.1733,82.72,77,100,3.49
237,Dingle,PH,2022-02-12 19:14:06,10.9995,122.6711,74.43,92,36,8.39
238,Asfi,MA,2022-02-12 19:17:21,32.2994,-9.2372,60.13,82,0,16.42
239,Srednekolymsk,RU,2022-02-12 19:18:19,67.45,153.6833,-31.97,98,95,7.25
240,Iracoubo,GF,2022-02-12 19:18:20,5.4802,-53.2011,78.98,85,88,12.15
241,Lebu,CL,2022-02-12 19:13:05,-37.6167,-73.65,67.86,60,31,12.28
242,Palembang,ID,2022-02-12 19:17:01,-2.9167,104.7458,78.89,89,20,2.3
243,Lasa,IT,2022-02-12 19:18:20,46.6166,10.7002,31.46,53,11,1.61
244,Mar Del Plata,AR,2022-02-12 19:09:01,-38.0023,-57.5575,64.42,70,40,18.41
245,Bereda,ES,2022-02-12 19:16:02,43.2686,-7.5406,46.15,91,80,1.61
246,Bahar,IR,2022-02-12 19:18:21,34.9072,48.4414,30.54,84,4,2.1
247,Faanui,PF,2022-02-12 19:16:04,-16.4833,-151.75,80.69,74,100,15.35
248,Henties Bay,NA,2022-02-12 19:14:26,-22.116,14.2845,71.85,80,77,6.2
249,Rio Gallegos,AR,2022-02-12 19:18:22,-51.6226,-69.2181,69.85,21,40,33.38
250,Santiago Del Estero,AR,2022-02-12 19:14:52,-27.7951,-64.2615,82.26,33,66,12.5
251,Andenes,NO,2022-02-12 19:14:26,69.3143,16.1194,26.58,74,15,13.8
252,Harer,ET,2022-02-12 19:18:23,9.3094,42.1258,60.01,60,100,9.4
253,Pochutla,MX,2022-02-12 19:12:49,15.7432,-96.4661,87.62,37,0,8.5
254,Tadine,NC,2022-02-12 19:18:23,-21.55,167.8833,79.54,85,100,6.24
255,Kijang,KR,2022-02-12 19:18:23,35.2442,129.2139,42.53,61,100,9.42
256,Touros,BR,2022-02-12 19:18:24,-5.1989,-35.4608,86.9,67,38,10.33
257,Kavaratti,IN,2022-02-12 19:12:59,10.5669,72.642,80.64,71,5,8.43
258,Mikhaylovskoye,RU,2022-02-12 19:18:24,51.8239,79.7172,17.17,94,100,10.94
259,Masterton,NZ,2022-02-12 19:14:13,-40.9597,175.6575,65.93,98,100,7.87
260,Llanes,ES,2022-02-12 19:18:25,43.4198,-4.7549,52.9,86,100,2.98
261,Vanino,RU,2022-02-12 19:18:25,49.0869,140.2543,20.77,95,100,5.53
262,Isugod,PH,2022-02-12 19:18:26,9.3408,118.1196,77.63,87,100,3.38
263,Kaohsiung,TW,2022-02-12 19:18:26,22.6163,120.3133,67.95,83,75,3.44
264,Cherskiy,RU,2022-02-12 19:18:27,68.75,161.3,-21.23,98,100,10.2
265,Teberda,RU,2022-02-12 19:18:27,43.4456,41.7448,28.09,65,39,12.82
266,Mamallapuram,IN,2022-02-12 19:18:27,12.6264,80.1722,80.06,74,11,10.58
267,Havre-Saint-Pierre,CA,2022-02-12 19:18:28,50.2334,-63.5986,34.39,93,100,12.66
268,Elko,US,2022-02-12 19:18:28,41.0002,-115.5012,44.74,51,0,1.99
269,Carutapera,BR,2022-02-12 19:13:31,-1.195,-46.02,79.7,86,100,6.49
270,Rawson,AR,2022-02-12 19:18:29,-43.3002,-65.1023,80.26,25,100,7.07
271,Provideniya,RU,2022-02-12 19:12:52,64.3833,-173.3,-11.45,82,11,5.99
272,Kisangani,CD,2022-02-12 19:18:29,0.5167,25.2,78.87,59,100,1.99
273,Petrykivka,UA,2022-02-12 19:18:30,48.7298,34.6351,34.72,80,100,13.53
274,Santa Isabel,BR,2022-02-12 19:18:30,-23.3156,-46.2214,80.31,77,45,8.25
275,Saskylakh,RU,2022-02-12 19:13:26,71.9167,114.0833,0.48,75,44,12.06
276,Ahipara,NZ,2022-02-12 19:13:33,-35.1667,173.1667,66.47,87,100,26.28
277,Duluth,US,2022-02-12 19:18:31,46.7833,-92.1066,4.55,49,40,4.61
278,Ferrol,ES,2022-02-12 19:18:31,43.4832,-8.2369,52.05,81,16,4.36
279,Souillac,MU,2022-02-12 19:18:31,-20.5167,57.5167,80.98,83,40,6.91
280,Nha Trang,VN,2022-02-12 19:18:32,12.25,109.1833,77.0,90,84,5.64
281,Rorvik,NO,2022-02-12 19:18:32,64.8621,11.2373,34.34,77,100,13.27
282,Kempele,FI,2022-02-12 19:18:33,64.9131,25.5034,17.62,86,100,2.3
283,Havelock,US,2022-02-12 19:18:33,34.8791,-76.9013,71.98,57,100,5.99
284,Ribeira Grande,PT,2022-02-12 19:12:47,38.5167,-28.7,63.0,82,75,20.71
285,Abancay,PE,2022-02-12 19:18:34,-13.6339,-72.8814,60.04,77,100,1.74
286,Pombia,IT,2022-02-12 19:18:34,45.653,8.6336,45.25,65,0,1.14
287,Dongsheng,CN,2022-02-12 19:18:34,39.8161,109.9776,23.43,76,100,13.0
288,Nishihara,JP,2022-02-12 19:18:35,26.1842,127.7558,69.08,83,100,18.41
289,Inuvik,CA,2022-02-12 19:18:35,68.3499,-133.7218,-17.54,72,75,6.91
290,Yulara,AU,2022-02-12 19:12:51,-25.2406,130.9889,69.64,43,0,6.91
291,Bondoukou,CI,2022-02-12 19:18:36,8.0333,-2.8,80.6,44,45,2.93
292,Lashio,MM,2022-02-12 19:18:36,22.9333,97.75,49.32,75,13,2.1
